Model,Accuracy,Precision,Recall,F1-Score
Ensemble (Model1 & Model2),0.862028956413269,0.03795274062040751,0.1948146314330818,0.06352908580452571
Random Forest,0.927045388050632,0.9462005602134068,0.927045388050632,0.9309881607432242
Gradient Boosting,0.9289069507988001,0.9472383434668986,0.9289069507988001,0.9326758146860522
